stem,issue
001881,bbox_cross_image_boundary_line_1
001884,bbox_cross_image_boundary_line_1
001884,bbox_cross_image_boundary_line_8
001886,bbox_cross_image_boundary_line_1
001886,bbox_cross_image_boundary_line_3
001891,bbox_cross_image_boundary_line_1
001986,bbox_cross_image_boundary_line_6
001987,bbox_cross_image_boundary_line_6
001989,bbox_cross_image_boundary_line_6
001989,bbox_cross_image_boundary_line_7
001997,bbox_cross_image_boundary_line_8
002005,bbox_cross_image_boundary_line_8
002006,bbox_cross_image_boundary_line_8
002013,bbox_cross_image_boundary_line_8
002014,bbox_cross_image_boundary_line_8
002016,bbox_cross_image_boundary_line_8
002022,bbox_cross_image_boundary_line_8
002029,bbox_cross_image_boundary_line_8
002065,bbox_cross_image_boundary_line_12
002079,bbox_cross_image_boundary_line_11
002598,bbox_cross_image_boundary_line_4
002598,bbox_cross_image_boundary_line_6
002598,bbox_cross_image_boundary_line_14
002724,bbox_cross_image_boundary_line_2
003107,bbox_cross_image_boundary_line_1
003107,label_invalid_xywh_line_2
003240,bbox_cross_image_boundary_line_1
003679,bbox_cross_image_boundary_line_9
003817,label_invalid_xywh_line_3
003942,bbox_cross_image_boundary_line_1
003963,bbox_cross_image_boundary_line_40
shuming_888_00000023,bbox_cross_image_boundary_line_2
shuming_891_00000073,bbox_cross_image_boundary_line_2
